employee_id;,"""employee_name"";","""employee_surname"";","""employee_mail"";","""employee_phone"";","""employee_address"";","""employee_salary"""
9010,Αλέξανδρος,Αισώπογλου,-,6980032020,"Αγίου Δημητρίου 90, Κολωνός",750.59
2933,Κώστας,Ορνιεράκης,-,6980432420,"Γεωργίου Γεννηματά 96-98, Αγία Βαρβάρα",750.59
2100,Αντώνης,Παπαδόπουλος,-,6943032121,"Οσίου Ανδρέα 5, Νέα Ιωνία",750.59
7332,Κυριακή,Παπαδοπούλου,-,6922001133,"Λεωφ. Αθηνών 150, Χαϊδάρι",750.59
2441,Παναγιώτα,Παπαδοπούλου,-,6938432022,"Ούλωφ Πάλμε 40, Ζωγράφου",750.59
4332,Αρετή,Παπαδοπούλου,areti@gmail.com,6959430221,"Λεωφ. Αθηνών 150, Χαϊδάρι",750.59
7754,Αλέξανδρος,Κούνης,-,2103383322,"Ούλωφ Πάλμε 10, Ζωγράφου",750.59
4321,Κώστας,Κούνης,-,2103432944,"Ναυκρατούσας 2, Αθήνα",750.59
789,Αντώνης,Λάκος,-,6900043221,"Αγίου Δημητρίου 9, Άγιος Δημήτριος",750.59
3422,Κυριακή,Τσανάι,-,6903215652,"Γεωργίου Γεννηματά 50, Αγία Βαρβάρα",750.59
9534,Παναγιώτα,Πλεκτή,,6932234171,"Πραξιτέλους 4, Αθήνα",750.59
7422,Αρετή,Μανωλίδου,-,6902301222,"Φιλίππου 10, Χαλάνδρι",750.59
1032,Αλέξανδρος,Παπαδόπουλος,alex.pap@yahoo.gr,6910322233,"Αγίου Δημητρίου 9, Κολωνός",750.59
5633,Αρετή,Κούνη,-,2104532821,"Αγίας Ελεούσης 33, Αγία Βαρβάρα",900.43
124,Ελπινίκη,Κρούνη,-,6944556632,"Κόδρου 20, Αγία Βαρβάρα",900.43
8000,Κώστας,Βασιλειάδης,-,2109090221,"Δαιδάλου 20, Γέρακας",900.43
3214,Αντώνης,Γεωργίου,tony.g@gmail.com,6934355532,"Ποταμού 30, Κορυδαλλός",900.43
5601,Αντώνης,Γεωργίου,a.tony@yahoo.gr,6993302221,"Πλατεία Δημαρχείου 33, Μεταμόρφωση",1200.65
9876,Αντώνης,Γεωργίου,g.tony@mail.co.uk,6925069493,"Δυρραχίου 2, Αθήνα",1232.56
